Rank,Player,Team,Position,Sources,Patrick Thorman (Sun 12:32 PM),Jeff Ratcliffe (Sun 12:30 PM),Sean Koerner (Sun 12:36 PM)
1,Trey McBride,ARI,TE,3,2,1,2
2,Colston Loveland,CHI,TE,3,1,2,3
3,Dalton Kincaid,BUF,TE,3,3,3,1
4,Mark Andrews,BAL,TE,3,4,4,4
5,Sam LaPorta,DET,TE,3,5,8,6
6,Tyler Warren,IND,TE,3,6,5,9
7,Dallas Goedert,PHI,TE,3,7,7,8
8,Tucker Kraft,GB,TE,3,8,9,7
9,Travis Kelce,KC,TE,3,10,6,10
10,Isaiah Likely,NYG,TE,3,12,10,5
11,George Kittle,SF,TE,3,9,11,12
12,Dalton Schultz,HOU,TE,3,13,12,11
13,Michael Mayer,LV,TE,3,11,13,13
14,Hunter Henry,NE,TE,3,14,15,15
15,Juwan Johnson,NO,TE,3,15,14,16
16,Harold Fannin,CLE,TE,3,18,16,14
17,Brenton Strange,JAC,TE,3,19,18,17
18,Jake Ferguson,DAL,TE,3,21,17,20
19,Kyle Pitts,ATL,TE,3,22,19,18
20,Pat Freiermuth,PIT,TE,3,17,20,27
21,Colby Parkinson,LAR,TE,3,16,27,19
22,Cade Otton,TB,TE,3,23,22,26
23,AJ Barner,SEA,TE,3,24,21,29
24,T.J. Hockenson,MIN,TE,3,25,24,23
25,Terrance Ferguson,LAR,TE,3,20,29,24
26,Mike Gesicki,CIN,TE,3,26,25,22
27,Evan Engram,DEN,TE,3,27,23,25
28,David Njoku,LAC,TE,3,29,26,21
29,Kenyon Sadiq,NYJ,TE,3,30,28,30
30,Greg Dulcich,MIA,TE,3,28,30,33
31,Gunnar Helm,TEN,TE,3,31,33,31
32,Darren Waller,CAR,TE,3,32,31,35
33,Cole Kmet,CHI,TE,3,33,32,37
34,Mason Taylor,NYJ,TE,3,34,35,38
35,Oronde Gadsden,LAC,TE,3,40,34,34
36,John Bates,WAS,TE,3,36,39,36
37,Darnell Washington,PIT,TE,3,35,38,42
38,Noah Fant,NO,TE,3,38,36,41
39,Dawson Knox,BUF,TE,3,39,37,39
40,Tommy Tremble,CAR,TE,3,37,40,40
41,Josh Oliver,MIN,TE,3,44,41,28
42,Jonnu Smith,GB,TE,3,41,42,44
43,Theo Johnson,NYG,TE,3,42,44,45
44,Tyler Higbee,LAR,TE,3,53,43,32
45,Charlie Kolar,LAC,TE,3,43,45,51
46,Ben Sinnott,WAS,TE,3,45,46,47
47,Eli Raridon,NE,TE,3,48,47,46
48,Elijah Arroyo,SEA,TE,3,46,48,54
49,Noah Gray,KC,TE,3,47,49,52
50,Durham Smythe,BAL,TE,3,50,52,49
51,Brevyn Spann-Ford,DAL,TE,3,51,50,55
52,Drew Sample,CIN,TE,3,57,51,48
53,Foster Moreau,HOU,TE,3,54,53,50
54,Adam Trautman,DEN,TE,3,49,54,59
55,Davis Allen,LAR,TE,3,64,56,43
56,Mitchell Evans,CAR,TE,3,55,57,58
57,Luke Farrell,SF,TE,3,52,60,61
58,Brock Wright,DET,TE,3,56,58,60
59,Cade Stover,HOU,TE,3,60,63,56
60,Erick All,CIN,TE,3,68,55,57
61,Nate Boerkircher,JAC,TE,3,61,61,66
62,Daniel Bellinger,TEN,TE,3,62,62,64
63,Jackson Hawes,BUF,TE,3,58,65,74
64,Blake Whiteheart,CLE,TE,3,65,59,73
65,Mo Alie-Cox,IND,TE,3,63,66,69
66,Austin Hooper,ATL,TE,3,67,68,63
67,Luke Schoonmaker,DAL,TE,2,-83,64,62
68,Quintin Morris,JAC,TE,3,72,72,67
69,Matt Hibner,BAL,TE,2,59,-97,53
70,Johnny Mundt,PHI,TE,3,75,69,71
71,Marlin Klein,HOU,TE,3,82,67,65
72,Jeremy Ruckert,NYJ,TE,3,73,70,75
73,Colson Yankoff,WAS,TE,3,71,76,76
74,Nate Adkins,DEN,TE,3,74,78,72
75,Will Kacmarek,MIA,TE,3,81,74,68
76,Charlie Woerner,ATL,TE,3,69,80,82
77,Elijah Higgins,ARI,TE,3,77,71,84
78,Hunter Long,ARI,TE,3,78,75,77
79,Jake Briningstool,KC,TE,2,-84,73,86
80,Max Klare,LAR,TE,2,-85,77,79
81,Sam Roush,CHI,TE,3,76,79,93
82,Brayden Willis,SF,TE,2,-89,84,70
83,Ian Thomas,LV,TE,2,-88,83,78
84,Eric Saubert,SEA,TE,2,-86,81,85
85,Tyler Conklin,DET,TE,2,-87,82,87
86,Josh Cuevas,BAL,TE,3,79,87,96
87,Jack Endries,CIN,TE,2,-90,85,83
