Rank,Player,Team,Position,Sources,Justin Boone (Sun 12:56 PM),Patrick Thorman (Sun 12:27 PM),Jeff Ratcliffe (Sun 12:51 PM),Sean Koerner (Sun 12:53 PM)
1,Amon-Ra St. Brown,DET,WR,4,2,2,2,2
2,Jaxon Smith-Njigba,SEA,WR,4,1,3,4,1
3,Ja'Marr Chase,CIN,WR,4,3,1,3,5
4,CeeDee Lamb,DAL,WR,4,4,4,5,4
5,Justin Jefferson,MIN,WR,4,5,5,6,3
6,Chris Olave,NO,WR,4,6,8,7,7
7,George Pickens,DAL,WR,4,7,7,8,8
8,Garrett Wilson,NYJ,WR,4,8,9,11,6
9,DJ Moore,BUF,WR,4,9,10,10,12
10,DeVonta Smith,PHI,WR,4,11,12,9,10
11,Malik Nabers,NYG,WR,4,10,11,15,9
12,Davante Adams,LAR,WR,4,14,6,21,11
13,Christian Watson,GB,WR,4,12,13,12,16
14,Tetairoa McMillan,CAR,WR,4,13,17,17,13
15,Parker Washington,JAC,WR,4,15,15,16,14
16,Rashee Rice,KC,WR,4,19,14,13,18
17,Jameson Williams,DET,WR,4,17,18,18,15
18,Mike Evans,SF,WR,4,16,16,14,26
19,Jaylen Waddle,DEN,WR,4,20,19,22,20
20,Emeka Egbuka,TB,WR,4,18,22,19,23
21,DK Metcalf,PIT,WR,4,23,20,24,19
22,Tee Higgins,CIN,WR,4,21,21,20,28
23,Luther Burden,CHI,WR,4,22,26,25,17
24,Drake London,ATL,WR,4,24,23,23,22
25,Terry McLaurin,WAS,WR,4,25,25,27,25
26,Jalen Coker,CAR,WR,4,26,27,26,24
27,Quentin Johnston,LAC,WR,4,32,30,28,21
28,Matthew Golden,GB,WR,4,27,28,31,32
29,Stefon Diggs,WAS,WR,4,28,29,30,31
30,Deebo Samuel,SF,WR,4,31,32,32,27
31,Chris Godwin,TB,WR,4,36,31,33,35
32,Rome Odunze,CHI,WR,4,33,39,29,45
33,Courtland Sutton,DEN,WR,4,38,33,34,42
34,Khalil Shakir,BUF,WR,4,35,40,38,33
35,Jakobi Meyers,JAC,WR,4,39,38,36,37
36,Josh Downs,IND,WR,4,42,37,37,34
37,Xavier Worthy,KC,WR,4,37,34,43,41
38,Jayden Reed,GB,WR,4,41,36,39,36
39,Michael Wilson,ARI,WR,4,40,41,35,38
40,Alec Pierce,IND,WR,4,34,43,46,44
41,Romeo Doubs,NE,WR,4,43,42,44,40
42,KC Concepcion,CLE,WR,4,44,44,41,39
43,Jordan Addison,MIN,WR,4,48,35,40,48
44,Ladd McConkey,LAC,WR,3,29,24,-115,29
45,Carnell Tate,TEN,WR,4,45,50,48,43
46,Devaughn Vele,NO,WR,4,46,46,50,46
47,Marvin Harrison,ARI,WR,4,49,51,42,47
48,Tre Tucker,LV,WR,4,53,45,45,57
49,Brian Thomas,JAC,WR,4,55,47,47,49
50,Wan'Dale Robinson,TEN,WR,4,50,48,51,54
51,Caleb Douglas,MIA,WR,4,47,49,52,62
52,Malik Washington,MIA,WR,4,51,53,55,50
53,Keenan Allen,IND,WR,4,57,54,56,51
54,Puka Nacua,LAR,WR,3,30,-137,1,30
55,Rashod Bateman,BAL,WR,4,56,52,64,59
56,Pat Bryant,DEN,WR,4,59,56,58,55
57,Dontayvion Wicks,PHI,WR,4,54,59,54,64
58,Denzel Boston,CLE,WR,4,52,64,53,61
59,Mack Hollins,NE,WR,4,60,60,59,52
60,Kayshon Boutte,HOU,WR,4,58,55,71,53
61,Tre' Harris,LAC,WR,4,61,63,49,60
62,Adonai Mitchell,NYJ,WR,4,62,57,57,66
63,Xavier Hutchinson,HOU,WR,4,63,61,61,65
64,DeMario Douglas,NE,WR,4,64,65,67,56
65,Jalen Nailor,LV,WR,4,67,58,63,68
66,Ryan Flournoy,DAL,WR,4,68,62,66,69
67,Rashid Shaheed,SEA,WR,4,66,67,60,73
68,Makai Lemon,PHI,WR,4,65,68,62,75
69,Roman Wilson,PIT,WR,4,73,66,79,63
70,Kendrick Bourne,ARI,WR,4,70,72,68,71
71,Jerry Jeudy,CLE,WR,4,71,70,73,70
72,Cooper Kupp,SEA,WR,4,72,71,69,72
73,Demarcus Robinson,SF,WR,4,74,69,70,76
74,Antonio Williams,WAS,WR,4,75,77,75,58
75,Jaylin Noel,HOU,WR,4,69,73,78,79
76,Malachi Fields,NYG,WR,4,77,75,72,78
77,Kalif Raymond,CHI,WR,4,76,74,80,77
78,Jalen McMillan,TB,WR,4,80,76,77,81
79,Jack Bech,LV,WR,4,78,80,74,91
80,Darnell Mooney,NYG,WR,4,83,84,83,84
81,Bryce Lance,NO,WR,4,88,82,82,86
82,Andrei Iosivas,CIN,WR,4,81,86,84,94
83,Isaac TeSlaa,DET,WR,4,79,89,87,93
84,Ted Hurst,TB,WR,4,90,83,81,95
85,Keon Coleman,BUF,WR,4,85,90,88,88
86,Tyquan Thornton,KC,WR,4,118,81,76,67
87,Chris Bell,MIA,WR,4,89,91,90,82
88,Jahan Dotson,ATL,WR,4,92,88,86,90
89,Devontez Walker,BAL,WR,4,104,78,91,87
90,Elic Ayomanor,TEN,WR,4,82,95,93,97
91,Xavier Legette,CAR,WR,4,99,94,89,89
92,Joshua Palmer,BUF,WR,4,87,98,95,96
93,Isaiah Williams,NYJ,WR,4,102,96,92,92
94,Troy Franklin,DEN,WR,4,100,99,101,83
95,LaJohntay Wester,BAL,WR,3,103,92,-117,74
96,Josh Cameron,JAC,WR,4,84,103,97,114
97,Olamide Zaccheaus,ATL,WR,4,97,101,96,102
98,Konata Mumpfield,LAR,WR,4,130,79,105,80
99,Calvin Ridley,TEN,WR,4,119,93,85,99
100,Germie Bernard,PIT,WR,3,105,87,-118,98
101,Travis Hunter,JAC,WR,4,93,105,99,111
102,Kyle Williams,NE,WR,4,101,102,98,107
103,Jahdae Walker,CHI,WR,4,86,113,107,108
104,Dyami Brown,WAS,WR,4,111,100,94,104
105,KaVontae Turpin,DAL,WR,4,96,107,103,110
106,Jaylin Lane,WAS,WR,4,98,110,106,117
107,Kevin Coleman,MIA,WR,4,106,106,102,116
108,Brenen Thompson,LAC,WR,4,121,118,65,113
109,Jared Wayne,HOU,WR,4,109,104,109,112
110,Tai Felton,MIN,WR,3,114,97,-123,101
111,Dohnte Meyers,CIN,WR,4,91,115,110,122
112,Zachariah Branch,ATL,WR,4,117,108,104,103
113,Malik Benson,LV,WR,4,107,117,111,100
114,Jonathan Mingo,DAL,WR,4,95,119,113,120
115,Bo Melton,GB,WR,3,94,126,-116,115
116,Xavier Smith,LAR,WR,3,132,85,-134,105
117,Chris Moore,BAL,WR,3,127,109,-130,85
118,Odell Beckham,NYG,WR,4,116,114,108,119
119,Derius Davis,LAC,WR,3,115,121,-124,123
120,Chimere Dike,TEN,WR,4,123,120,114,128
121,Cyrus Allen,KC,WR,3,120,122,-125,124
122,Colbie Young,CIN,WR,3,110,136,-120,125
123,Barion Brown,NO,WR,2,108,-138,-119,139
124,Skyy Moore,GB,WR,3,113,133,-122,136
125,Tutu Atwell,LAR,WR,3,141,112,-142,106
126,Elijah Sarratt,BAL,WR,3,129,123,-132,118
127,Brycen Tremayne,CAR,WR,4,134,124,112,129
128,Laquon Treadwell,IND,WR,3,135,128,-136,109
129,Tez Johnson,TB,WR,3,124,134,-127,126
130,Isaiah Bond,CLE,WR,3,128,127,-131,143
131,Braxton Berrios,NYG,WR,1,112,-139,-121,-170
132,Zavion Thomas,CHI,WR,2,125,-141,-128,142
133,Cody White,LV,WR,3,139,132,-140,133
134,Hollywood Brown,PHI,WR,2,126,-142,-129,157
135,Jalen Tolbert,MIA,WR,1,122,-140,-126,-171
136,Tory Horton,SEA,WR,3,152,111,-153,144
137,Treylon Burks,WAS,WR,2,133,-144,-135,146
138,Lil'Jordan Humphrey,DEN,WR,2,-155,116,-156,134
139,Jacob Cowing,SF,WR,2,138,-147,-139,135
140,Ben Skowronek,PIT,WR,3,153,125,-154,140
141,Luke McCaffrey,WAS,WR,1,131,-143,-133,-172
142,Darius Cooper,PHI,WR,2,137,-146,-138,160
143,Tylan Wallace,CLE,WR,2,140,-148,-141,150
144,KhaDarel Hodge,SF,WR,2,142,-149,-143,145
145,Kevin Austin,NO,WR,2,136,-145,-137,167
146,Lewis Bond,HOU,WR,2,-157,130,-158,138
147,CJ Daniels,LAR,WR,2,-159,135,-160,127
148,John Metchie,CAR,WR,2,-158,131,-159,137
149,Arian Smith,NYJ,WR,2,147,-154,-148,131
150,Tay Martin,DET,WR,2,144,-151,-145,153
151,Greg Dortch,BUF,WR,2,146,-153,-147,148
152,Tom Kennedy,DET,WR,2,145,-152,-146,154
153,Chris Blair,ATL,WR,2,143,-150,-144,164
154,Jordan Whittington,LAR,WR,1,-160,-160,100,-174
155,Kameron Johnson,TB,WR,2,149,-156,-150,147
156,Efton Chism,NE,WR,2,154,-159,-155,130
157,Marquez Valdes-Scantling,LAC,WR,1,-156,129,-157,-173
158,Myles Price,MIN,WR,1,-161,-161,-161,121
159,Dareke Young,LV,WR,2,148,-155,-149,165
160,Kaden Davis,CHI,WR,2,150,-157,-151,158
161,Jalen Brooks,ARI,WR,2,151,-158,-152,159
162,Kaden Wetjen,PIT,WR,1,-162,-162,-162,132
163,Deion Burks,IND,WR,1,-163,-163,-163,141
164,Nikko Remigio,KC,WR,1,-164,-164,-164,149
165,J. Michael Sturdivant,GB,WR,1,-165,-165,-165,151
166,Jalen Royals,KC,WR,1,-166,-166,-166,152
167,Montorie Foster,SEA,WR,1,-167,-167,-167,155
168,Jordan Watkins,SF,WR,1,-168,-168,-168,156
169,Gary Jennings,LAC,WR,1,-169,-169,-169,161
170,Dillon Bell,MIN,WR,1,-170,-170,-170,162
171,CJ Williams,JAC,WR,1,-171,-171,-171,163
172,Ryan Miller,MIA,WR,1,-172,-172,-172,166
173,Anthony Gould,IND,WR,1,-173,-173,-173,168
174,Malachi Corley,CLE,WR,1,-174,-174,-174,169
