Rank,Player,Team,Position,Sources,Justin Boone (Sun 11:46 AM),Patrick Thorman (Sun 12:27 PM),Jeff Ratcliffe (Sun 12:30 PM),Sean Koerner (Sun 12:41 PM)
1,Jaxon Smith-Njigba,SEA,WR,4,1,3,2,1
2,Amon-Ra St. Brown,DET,WR,4,2,2,1,2
3,Ja'Marr Chase,CIN,WR,4,3,1,3,5
4,CeeDee Lamb,DAL,WR,4,4,4,5,4
5,Justin Jefferson,MIN,WR,4,5,5,4,3
6,Garrett Wilson,NYJ,WR,4,8,6,6,6
7,Chris Olave,NO,WR,4,6,7,7,7
8,George Pickens,DAL,WR,4,7,8,8,8
9,DJ Moore,BUF,WR,4,9,10,10,11
10,Malik Nabers,NYG,WR,4,10,12,9,9
11,DeVonta Smith,PHI,WR,4,11,11,12,10
12,Davante Adams,LAR,WR,4,14,9,11,13
13,Tetairoa McMillan,CAR,WR,4,13,16,15,12
14,Christian Watson,GB,WR,4,12,13,16,19
15,Parker Washington,JAC,WR,4,15,15,14,14
16,Rashee Rice,KC,WR,4,19,14,13,15
17,Jameson Williams,DET,WR,4,18,20,17,17
18,Jaylen Waddle,DEN,WR,4,20,17,19,18
19,Mike Evans,SF,WR,4,17,18,18,27
20,Emeka Egbuka,TB,WR,4,16,23,20,24
21,DK Metcalf,PIT,WR,4,23,19,21,20
22,Drake London,ATL,WR,4,24,22,22,21
23,Luther Burden,CHI,WR,4,22,27,25,16
24,Tee Higgins,CIN,WR,4,21,21,24,33
25,Jalen Coker,CAR,WR,4,26,25,26,23
26,Terry McLaurin,WAS,WR,4,25,28,23,26
27,Stefon Diggs,WAS,WR,4,28,26,29,25
28,Ladd McConkey,LAC,WR,4,29,24,30,28
29,Matthew Golden,GB,WR,4,27,30,28,30
30,Quentin Johnston,LAC,WR,4,32,32,27,22
31,Deebo Samuel,SF,WR,4,31,31,31,29
32,Chris Godwin,TB,WR,4,34,29,32,35
33,Khalil Shakir,BUF,WR,4,35,36,38,32
34,Josh Downs,IND,WR,4,42,34,33,34
35,Courtland Sutton,DEN,WR,4,38,33,34,43
36,Xavier Worthy,KC,WR,4,37,35,35,42
37,Jakobi Meyers,JAC,WR,4,39,37,37,36
38,Jayden Reed,GB,WR,4,41,39,36,39
39,Michael Wilson,ARI,WR,4,40,40,39,37
40,Rome Odunze,CHI,WR,4,33,42,40,47
41,Romeo Doubs,NE,WR,4,43,41,43,40
42,Alec Pierce,IND,WR,4,36,45,45,46
43,KC Concepcion,CLE,WR,4,44,43,44,38
44,Devaughn Vele,NO,WR,4,46,46,41,44
45,Jordan Addison,MIN,WR,4,48,38,46,50
46,Carnell Tate,TEN,WR,4,45,50,47,41
47,Wan'Dale Robinson,TEN,WR,4,50,44,42,51
48,Marvin Harrison,ARI,WR,4,49,53,51,45
49,Malik Washington,MIA,WR,4,51,51,49,48
50,Caleb Douglas,MIA,WR,4,47,48,52,61
51,Tre Tucker,LV,WR,4,53,47,50,57
52,Keenan Allen,IND,WR,4,57,52,48,49
53,Brian Thomas,JAC,WR,4,55,49,53,52
54,Kayshon Boutte,HOU,WR,4,58,54,56,55
55,Pat Bryant,DEN,WR,4,59,56,54,54
56,Rashod Bateman,BAL,WR,4,56,55,55,63
57,Mack Hollins,NE,WR,4,60,60,57,53
58,Dontayvion Wicks,PHI,WR,4,54,58,59,64
59,Denzel Boston,CLE,WR,4,52,64,60,60
60,Tre' Harris,LAC,WR,4,61,63,58,59
61,Adonai Mitchell,NYJ,WR,4,62,57,62,66
62,DeMario Douglas,NE,WR,4,64,65,61,56
63,Xavier Hutchinson,HOU,WR,4,63,61,63,65
64,Jalen Nailor,LV,WR,4,67,59,64,69
65,Ryan Flournoy,DAL,WR,4,68,62,65,68
66,Roman Wilson,PIT,WR,4,73,66,67,62
67,Makai Lemon,PHI,WR,4,65,68,66,75
68,Rashid Shaheed,SEA,WR,4,66,67,69,79
69,Kendrick Bourne,ARI,WR,4,70,71,68,71
70,Jerry Jeudy,CLE,WR,4,71,70,70,70
71,Cooper Kupp,SEA,WR,4,72,72,71,72
72,Jaylin Noel,HOU,WR,4,69,73,72,76
73,Antonio Williams,WAS,WR,4,75,78,75,58
74,Demarcus Robinson,SF,WR,4,76,69,74,78
75,Kalif Raymond,CHI,WR,3,-77,74,73,74
76,Malachi Fields,NYG,WR,4,74,75,76,77
77,Jalen McMillan,TB,WR,3,-79,77,78,82
78,Jack Bech,LV,WR,3,-78,76,77,89
79,Bryce Lance,NO,WR,3,-81,80,79,84
80,Konata Mumpfield,LAR,WR,3,-80,79,96,80
81,Tyquan Thornton,KC,WR,3,-85,84,95,67
82,Darnell Mooney,NYG,WR,3,-86,85,80,85
83,Devontez Walker,BAL,WR,3,-82,81,91,92
84,Ted Hurst,TB,WR,3,-83,82,87,95
85,LaJohntay Wester,BAL,WR,3,-92,91,85,73
86,Chris Bell,MIA,WR,3,-91,90,81,81
87,Puka Nacua,LAR,WR,2,30,-137,-153,31
88,Andrei Iosivas,CIN,WR,3,-87,86,82,93
89,Jahan Dotson,ATL,WR,3,-89,88,84,90
90,Xavier Legette,CAR,WR,3,-90,89,90,88
91,Germie Bernard,PIT,WR,3,-88,87,94,97
92,Keon Coleman,BUF,WR,3,-93,92,86,91
93,Isaac TeSlaa,DET,WR,3,-94,93,83,94
94,Xavier Smith,LAR,WR,3,-84,83,106,105
95,Isaiah Williams,NYJ,WR,3,-96,95,89,87
96,Elic Ayomanor,TEN,WR,3,-97,96,88,99
97,Troy Franklin,DEN,WR,3,-101,100,92,83
98,Joshua Palmer,BUF,WR,3,-99,98,93,98
99,Calvin Ridley,TEN,WR,3,-95,94,102,102
100,Tai Felton,MIN,WR,3,-98,97,103,100
101,Olamide Zaccheaus,ATL,WR,3,-100,99,97,101
102,Dyami Brown,WAS,WR,3,-102,101,105,104
103,Kyle Williams,NE,WR,3,-104,103,101,108
104,Chris Moore,BAL,WR,3,-109,108,112,86
105,Jared Wayne,HOU,WR,3,-103,102,108,110
106,Josh Cameron,JAC,WR,3,-105,104,98,118
107,Travis Hunter,JAC,WR,3,-107,106,100,111
108,Zachariah Branch,ATL,WR,3,-108,107,109,103
109,Kevin Coleman,MIA,WR,3,-106,105,111,113
110,KaVontae Turpin,DAL,WR,3,-110,109,104,112
111,Malik Benson,LV,WR,3,-115,114,107,96
112,Jahdae Walker,CHI,WR,3,-116,115,99,109
113,Jaylin Lane,WAS,WR,3,-111,110,110,115
114,Tutu Atwell,LAR,WR,3,-112,111,117,107
115,Odell Beckham,NYG,WR,3,-114,113,115,116
116,Jonathan Mingo,DAL,WR,3,-119,118,113,120
117,Brenen Thompson,LAC,WR,3,-122,121,116,114
118,Derius Davis,LAC,WR,3,-121,120,118,123
119,Lil'Jordan Humphrey,DEN,WR,3,-117,116,127,133
120,Bo Melton,GB,WR,3,-127,126,114,117
121,Chimere Dike,TEN,WR,3,-120,119,125,129
122,Cyrus Allen,KC,WR,3,-124,123,120,124
123,Elijah Sarratt,BAL,WR,3,-125,124,122,119
124,Laquon Treadwell,IND,WR,3,-129,128,126,106
125,Tory Horton,SEA,WR,3,-113,112,139,144
126,Brycen Tremayne,CAR,WR,3,-123,122,129,128
127,Dohnte Meyers,CIN,WR,2,-118,117,-154,122
128,Myles Price,MIN,WR,2,-138,-138,119,121
129,Ben Skowronek,PIT,WR,3,-126,125,140,138
130,Colbie Young,CIN,WR,3,-136,135,124,125
131,Tez Johnson,TB,WR,3,-134,133,130,126
132,Isaiah Bond,CLE,WR,3,-128,127,134,143
133,John Metchie,CAR,WR,3,-131,130,137,136
134,Cody White,LV,WR,3,-133,132,136,134
135,CJ Daniels,LAR,WR,3,-137,136,131,127
