Rank,Player,Team,Position,Sources,Patrick Thorman (Sun 12:27 PM),Jeff Ratcliffe (Sun 12:30 PM),Sean Koerner (Sun 12:41 PM)
1,Jaxon Smith-Njigba,SEA,WR,3,3,1,1
2,Amon-Ra St. Brown,DET,WR,3,2,2,2
3,CeeDee Lamb,DAL,WR,3,4,3,3
4,Ja'Marr Chase,CIN,WR,3,1,5,5
5,Justin Jefferson,MIN,WR,3,5,4,4
6,George Pickens,DAL,WR,3,7,6,6
7,Davante Adams,LAR,WR,3,6,9,9
8,Chris Olave,NO,WR,3,8,8,8
9,DJ Moore,BUF,WR,3,10,7,11
10,Malik Nabers,NYG,WR,3,11,11,7
11,Garrett Wilson,NYJ,WR,3,12,10,10
12,Christian Watson,GB,WR,3,9,12,16
13,DeVonta Smith,PHI,WR,3,13,13,12
14,Jameson Williams,DET,WR,3,14,16,14
15,Tetairoa McMillan,CAR,WR,3,18,14,13
16,Parker Washington,JAC,WR,3,16,15,15
17,Rashee Rice,KC,WR,3,15,18,19
18,Mike Evans,SF,WR,3,17,17,24
19,DK Metcalf,PIT,WR,3,19,22,18
20,Jaylen Waddle,DEN,WR,3,21,20,21
21,Emeka Egbuka,TB,WR,3,22,19,22
22,Tee Higgins,CIN,WR,3,20,21,26
23,Luther Burden,CHI,WR,3,25,23,17
24,Drake London,ATL,WR,3,23,26,23
25,Quentin Johnston,LAC,WR,3,27,24,20
26,Terry McLaurin,WAS,WR,3,24,25,25
27,Matthew Golden,GB,WR,3,28,27,30
28,Deebo Samuel,SF,WR,3,29,29,27
29,Jalen Coker,CAR,WR,3,30,28,28
30,Ladd McConkey,LAC,WR,3,26,31,31
31,Stefon Diggs,WAS,WR,3,33,30,32
32,Chris Godwin,TB,WR,3,31,33,36
33,Xavier Worthy,KC,WR,3,34,32,35
34,Courtland Sutton,DEN,WR,3,32,34,38
35,Jayden Reed,GB,WR,3,37,36,33
36,Rome Odunze,CHI,WR,3,36,35,43
37,Romeo Doubs,NE,WR,3,39,41,37
38,Jakobi Meyers,JAC,WR,3,40,37,42
39,Alec Pierce,IND,WR,3,38,40,41
40,Khalil Shakir,BUF,WR,3,44,39,34
41,Josh Downs,IND,WR,3,42,38,39
42,Michael Wilson,ARI,WR,3,41,43,40
43,Jordan Addison,MIN,WR,3,35,44,48
44,KC Concepcion,CLE,WR,3,46,42,45
45,Brian Thomas,JAC,WR,3,43,48,47
46,Marvin Harrison,ARI,WR,3,49,45,46
47,Carnell Tate,TEN,WR,3,51,49,44
48,Rashod Bateman,BAL,WR,3,48,46,55
49,Devaughn Vele,NO,WR,3,47,52,49
50,Tre Tucker,LV,WR,3,45,50,56
51,Kayshon Boutte,HOU,WR,3,52,47,50
52,Caleb Douglas,MIA,WR,3,50,51,61
53,Malik Washington,MIA,WR,3,55,53,53
54,Keenan Allen,IND,WR,3,54,60,52
55,Mack Hollins,NE,WR,3,60,55,51
56,Wan'Dale Robinson,TEN,WR,3,53,59,57
57,Pat Bryant,DEN,WR,3,58,57,54
58,Dontayvion Wicks,PHI,WR,3,59,54,65
59,Adonai Mitchell,NYJ,WR,3,56,58,66
60,Denzel Boston,CLE,WR,3,65,56,63
61,Tre' Harris,LAC,WR,3,63,61,60
62,Jalen Nailor,LV,WR,3,57,64,68
63,DeMario Douglas,NE,WR,3,66,63,58
64,Xavier Hutchinson,HOU,WR,3,62,62,67
65,Ryan Flournoy,DAL,WR,3,61,65,69
66,Roman Wilson,PIT,WR,3,67,67,64
67,Rashid Shaheed,SEA,WR,3,64,66,71
68,Demarcus Robinson,SF,WR,3,68,68,72
69,Jerry Jeudy,CLE,WR,3,70,70,70
70,Antonio Williams,WAS,WR,3,75,75,59
71,Makai Lemon,PHI,WR,3,69,72,73
72,Cooper Kupp,SEA,WR,3,73,69,74
73,Kalif Raymond,CHI,WR,3,79,71,78
74,Jalen McMillan,TB,WR,3,72,77,81
75,Jaylin Noel,HOU,WR,3,78,73,80
76,Tyquan Thornton,KC,WR,3,76,88,62
77,Kendrick Bourne,ARI,WR,3,80,74,77
78,Malachi Fields,NYG,WR,3,77,76,79
79,Devontez Walker,BAL,WR,3,71,85,86
80,Darnell Mooney,NYG,WR,3,83,79,82
81,Konata Mumpfield,LAR,WR,3,74,96,76
82,Jack Bech,LV,WR,3,81,78,93
83,Andrei Iosivas,CIN,WR,3,84,81,90
84,Bryce Lance,NO,WR,3,85,82,87
85,Isaac TeSlaa,DET,WR,3,87,80,88
86,Chris Bell,MIA,WR,3,92,83,83
87,Ted Hurst,TB,WR,3,82,86,94
88,Keon Coleman,BUF,WR,3,89,84,89
89,LaJohntay Wester,BAL,WR,3,91,93,75
90,Jahan Dotson,ATL,WR,3,93,89,91
91,Troy Franklin,DEN,WR,3,99,87,85
92,Xavier Legette,CAR,WR,3,94,91,92
93,Germie Bernard,PIT,WR,3,90,95,99
94,Elic Ayomanor,TEN,WR,3,95,92,96
95,Joshua Palmer,BUF,WR,3,96,90,98
96,Calvin Ridley,TEN,WR,3,88,102,97
97,Isaiah Williams,NYJ,WR,3,102,94,95
98,Xavier Smith,LAR,WR,3,86,105,107
99,Kyle Williams,NE,WR,3,98,100,105
100,Olamide Zaccheaus,ATL,WR,3,103,98,104
101,Dyami Brown,WAS,WR,3,97,106,102
102,Tai Felton,MIN,WR,3,100,103,103
103,Josh Cameron,JAC,WR,3,101,97,113
104,Chris Moore,BAL,WR,3,108,110,84
105,Travis Hunter,JAC,WR,3,105,101,111
106,KaVontae Turpin,DAL,WR,3,104,104,109
107,Jahdae Walker,CHI,WR,3,111,99,106
108,Zachariah Branch,ATL,WR,3,107,111,100
109,Jared Wayne,HOU,WR,3,106,109,114
110,Malik Benson,LV,WR,3,121,107,101
111,Jaylin Lane,WAS,WR,3,113,108,117
112,Kevin Coleman,MIA,WR,3,109,112,118
113,Tutu Atwell,LAR,WR,3,112,117,108
114,Brenen Thompson,LAC,WR,3,114,115,110
115,Jonathan Mingo,DAL,WR,3,119,113,120
116,Odell Beckham,NYG,WR,3,118,116,122
117,Bo Melton,GB,WR,3,126,114,115
118,Derius Davis,LAC,WR,3,120,118,123
119,Elijah Sarratt,BAL,WR,3,123,123,116
120,Cyrus Allen,KC,WR,3,122,119,124
121,Chimere Dike,TEN,WR,3,117,125,128
122,Laquon Treadwell,IND,WR,3,129,127,112
123,Lil'Jordan Humphrey,DEN,WR,3,116,126,135
124,Myles Price,MIN,WR,2,-137,120,119
125,Puka Nacua,LAR,WR,1,-159,-159,29
126,Brycen Tremayne,CAR,WR,3,124,131,129
127,Colbie Young,CIN,WR,3,136,124,126
128,Tez Johnson,TB,WR,3,133,128,125
129,Tory Horton,SEA,WR,3,110,141,142
130,Skyy Moore,GB,WR,3,131,129,134
131,CJ Daniels,LAR,WR,3,135,130,127
132,Barion Brown,NO,WR,2,-139,122,136
133,Dohnte Meyers,CIN,WR,2,115,-157,121
134,Isaiah Bond,CLE,WR,3,128,132,144
135,Cody White,LV,WR,3,132,137,132
136,Lewis Bond,HOU,WR,3,130,138,138
137,John Metchie,CAR,WR,3,134,136,137
138,Ben Skowronek,PIT,WR,3,125,143,141
139,Kaden Wetjen,PIT,WR,2,-142,135,133
140,Zavion Thomas,CHI,WR,2,-141,134,140
141,Jalen Tolbert,MIA,WR,1,-138,121,-170
142,Arian Smith,NYJ,WR,2,-145,142,131
143,Jacob Cowing,SF,WR,2,-144,140,139
144,Treylon Burks,WAS,WR,2,-143,139,146
145,Efton Chism,NE,WR,2,-148,146,130
146,Deion Burks,IND,WR,2,-146,144,145
147,Luke McCaffrey,WAS,WR,1,-140,133,-171
148,KhaDarel Hodge,SF,WR,2,-149,147,143
149,Hollywood Brown,PHI,WR,2,-147,145,155
150,Marquez Valdes-Scantling,LAC,WR,1,127,-158,-169
151,Kameron Johnson,TB,WR,2,-151,149,147
152,Tylan Wallace,CLE,WR,2,-150,148,151
153,Greg Dortch,BUF,WR,2,-152,150,148
154,Nikko Remigio,KC,WR,2,-157,155,149
155,Darius Cooper,PHI,WR,2,-155,153,158
156,Malachi Corley,CLE,WR,2,-154,152,162
157,Jalen Royals,KC,WR,2,-158,156,152
158,Tay Martin,DET,WR,1,-153,151,-172
159,Montorie Foster,SEA,WR,1,-160,-160,150
160,Anthony Gould,IND,WR,2,-156,154,168
161,J. Michael Sturdivant,GB,WR,1,-161,-161,153
162,Tom Kennedy,DET,WR,1,-162,-162,154
163,Kaden Davis,CHI,WR,1,-163,-163,156
164,Gary Jennings,LAC,WR,1,-164,-164,157
165,Jordan Watkins,SF,WR,1,-165,-165,159
166,Dillon Bell,MIN,WR,1,-166,-166,160
167,Jalen Brooks,ARI,WR,1,-167,-167,161
168,CJ Williams,JAC,WR,1,-168,-168,163
169,Chris Blair,ATL,WR,1,-169,-169,164
170,Ryan Miller,MIA,WR,1,-170,-170,165
171,Dareke Young,LV,WR,1,-171,-171,166
172,Kevin Austin,NO,WR,1,-172,-172,167
