Rank,Player,Team,Position
1,Jaxon Smith-Njigba,SEA,WR
2,Amon-Ra St. Brown,DET,WR
3,Ja'Marr Chase,CIN,WR
4,CeeDee Lamb,DAL,WR
5,Justin Jefferson,MIN,WR
6,Garrett Wilson,NYJ,WR
7,Chris Olave,NO,WR
8,George Pickens,DAL,WR
9,DJ Moore,BUF,WR
10,Malik Nabers,NYG,WR
11,DeVonta Smith,PHI,WR
12,Davante Adams,LAR,WR
13,Tetairoa McMillan,CAR,WR
14,Christian Watson,GB,WR
15,Parker Washington,JAC,WR
16,Rashee Rice,KC,WR
17,Jameson Williams,DET,WR
18,Jaylen Waddle,DEN,WR
19,Mike Evans,SF,WR
20,Emeka Egbuka,TB,WR
21,DK Metcalf,PIT,WR
22,Drake London,ATL,WR
23,Luther Burden,CHI,WR
24,Tee Higgins,CIN,WR
25,Jalen Coker,CAR,WR
26,Terry McLaurin,WAS,WR
27,Stefon Diggs,WAS,WR
28,Ladd McConkey,LAC,WR
29,Matthew Golden,GB,WR
30,Quentin Johnston,LAC,WR
31,Deebo Samuel,SF,WR
32,Chris Godwin,TB,WR
33,Khalil Shakir,BUF,WR
34,Josh Downs,IND,WR
35,Courtland Sutton,DEN,WR
36,Xavier Worthy,KC,WR
37,Jakobi Meyers,JAC,WR
38,Jayden Reed,GB,WR
39,Michael Wilson,ARI,WR
40,Rome Odunze,CHI,WR
41,Romeo Doubs,NE,WR
42,Alec Pierce,IND,WR
43,KC Concepcion,CLE,WR
44,Devaughn Vele,NO,WR
45,Jordan Addison,MIN,WR
46,Carnell Tate,TEN,WR
47,Wan'Dale Robinson,TEN,WR
48,Marvin Harrison,ARI,WR
49,Malik Washington,MIA,WR
50,Caleb Douglas,MIA,WR
51,Tre Tucker,LV,WR
52,Keenan Allen,IND,WR
53,Brian Thomas,JAC,WR
54,Kayshon Boutte,HOU,WR
55,Pat Bryant,DEN,WR
56,Rashod Bateman,BAL,WR
57,Mack Hollins,NE,WR
58,Dontayvion Wicks,PHI,WR
59,Denzel Boston,CLE,WR
60,Tre' Harris,LAC,WR
61,Adonai Mitchell,NYJ,WR
62,DeMario Douglas,NE,WR
63,Xavier Hutchinson,HOU,WR
64,Jalen Nailor,LV,WR
65,Ryan Flournoy,DAL,WR
66,Roman Wilson,PIT,WR
67,Makai Lemon,PHI,WR
68,Rashid Shaheed,SEA,WR
69,Kendrick Bourne,ARI,WR
70,Jerry Jeudy,CLE,WR
71,Cooper Kupp,SEA,WR
72,Jaylin Noel,HOU,WR
73,Antonio Williams,WAS,WR
74,Demarcus Robinson,SF,WR
75,Kalif Raymond,CHI,WR
76,Malachi Fields,NYG,WR
77,Jalen McMillan,TB,WR
78,Jack Bech,LV,WR
79,Bryce Lance,NO,WR
80,Konata Mumpfield,LAR,WR
81,Tyquan Thornton,KC,WR
82,Darnell Mooney,NYG,WR
83,Devontez Walker,BAL,WR
84,Ted Hurst,TB,WR
85,LaJohntay Wester,BAL,WR
86,Chris Bell,MIA,WR
87,Puka Nacua,LAR,WR
88,Andrei Iosivas,CIN,WR
89,Jahan Dotson,ATL,WR
90,Xavier Legette,CAR,WR
91,Germie Bernard,PIT,WR
92,Keon Coleman,BUF,WR
93,Isaac TeSlaa,DET,WR
94,Xavier Smith,LAR,WR
95,Isaiah Williams,NYJ,WR
96,Elic Ayomanor,TEN,WR
97,Troy Franklin,DEN,WR
98,Joshua Palmer,BUF,WR
99,Calvin Ridley,TEN,WR
100,Tai Felton,MIN,WR
101,Olamide Zaccheaus,ATL,WR
102,Dyami Brown,WAS,WR
103,Kyle Williams,NE,WR
104,Chris Moore,BAL,WR
105,Jared Wayne,HOU,WR
106,Josh Cameron,JAC,WR
107,Travis Hunter,JAC,WR
108,Zachariah Branch,ATL,WR
109,Kevin Coleman,MIA,WR
110,KaVontae Turpin,DAL,WR
111,Malik Benson,LV,WR
112,Jahdae Walker,CHI,WR
113,Jaylin Lane,WAS,WR
114,Tutu Atwell,LAR,WR
115,Odell Beckham,NYG,WR
116,Jonathan Mingo,DAL,WR
117,Brenen Thompson,LAC,WR
118,Derius Davis,LAC,WR
119,Lil'Jordan Humphrey,DEN,WR
120,Bo Melton,GB,WR
121,Chimere Dike,TEN,WR
122,Cyrus Allen,KC,WR
123,Elijah Sarratt,BAL,WR
124,Laquon Treadwell,IND,WR
125,Tory Horton,SEA,WR
126,Brycen Tremayne,CAR,WR
127,Dohnte Meyers,CIN,WR
128,Myles Price,MIN,WR
129,Ben Skowronek,PIT,WR
130,Colbie Young,CIN,WR
131,Tez Johnson,TB,WR
132,Isaiah Bond,CLE,WR
133,John Metchie,CAR,WR
134,Cody White,LV,WR
135,CJ Daniels,LAR,WR
136,Lewis Bond,HOU,WR
137,Skyy Moore,GB,WR
138,Barion Brown,NO,WR
139,Kaden Wetjen,PIT,WR
140,Arian Smith,NYJ,WR
141,Jalen Tolbert,MIA,WR
142,Zavion Thomas,CHI,WR
143,Jacob Cowing,SF,WR
144,Marquez Valdes-Scantling,LAC,WR
145,Deion Burks,IND,WR
146,Efton Chism,NE,WR
147,Luke McCaffrey,WAS,WR
148,Treylon Burks,WAS,WR
149,KhaDarel Hodge,SF,WR
150,Hollywood Brown,PHI,WR
151,Tylan Wallace,CLE,WR
152,Greg Dortch,BUF,WR
153,Kameron Johnson,TB,WR
154,Darius Cooper,PHI,WR
155,Nikko Remigio,KC,WR
156,J. Michael Sturdivant,GB,WR
157,Tay Martin,DET,WR
158,Jalen Royals,KC,WR
159,Tom Kennedy,DET,WR
160,Jalen Brooks,ARI,WR
161,Montorie Foster,SEA,WR
162,Jordan Watkins,SF,WR
163,Dillon Bell,MIN,WR
164,Dareke Young,LV,WR
165,Kaden Davis,CHI,WR
166,Ryan Miller,MIA,WR
167,Gary Jennings,LAC,WR
168,Kevin Austin,NO,WR
169,Chris Blair,ATL,WR
170,CJ Williams,JAC,WR
171,Anthony Gould,IND,WR
172,Malachi Corley,CLE,WR
