QB,Team,Bye,Pass Att,Pass Comp,Pass Yds,Pass TD,Pass Int,Rush Att,Rush Yds,Rush TD,Fumbles,Fantasy Points,Exp 300+ Pass Yd Games,Exp 400+ Pass Yd Games,Exp 40+ Pass Plays,Exp 100+ Scrim Yd Games,Exp 200+ Scrim Yd Games,Exp 40+ Rush Plays,Exp 20+ Yd Rec Plays
Josh Allen,BUF,7,484.85,326.71,3747.27,26.87,10.3,108.83,554.76,11.33,2.76,354.71,3.53,1.66,9.23,0.89,0.17,0.87,0.0
Lamar Jackson,BAL,13,447.06,287.3,3570.73,27.8,8.91,115.54,638.61,3.55,2.82,315.73,3.15,1.43,9.29,1.18,0.25,1.14,0.0
Drake Maye,NE,11,498.43,342.79,3978.97,27.84,10.44,92.77,465.54,3.54,3.85,309.73,4.04,1.97,10.34,0.61,0.11,0.71,0.0
Jalen Hurts,PHI,10,476.05,311.53,3465.73,23.56,8.14,109.12,462.67,8.53,2.76,308.52,2.93,1.3,7.63,0.61,0.11,0.47,0.0
Jayden Daniels,WAS,7,488.82,320.0,3589.98,24.05,9.99,121.33,659.56,4.48,2.36,307.94,3.19,1.45,8.05,1.25,0.27,1.15,0.0
Joe Burrow,CIN,6,580.83,392.77,4231.89,33.93,11.04,45.04,161.45,1.23,1.97,302.5,4.6,2.33,9.33,0.04,0.0,0.07,0.0
Dak Prescott,DAL,14,571.22,380.28,4284.97,30.52,11.2,45.91,171.24,1.69,2.19,293.96,4.72,2.41,10.01,0.04,0.0,0.1,0.0
Jaxson Dart,NYG,8,492.29,313.65,3428.88,22.45,10.02,94.7,517.63,6.48,2.37,292.82,2.85,1.26,6.85,0.77,0.14,0.91,0.0
Trevor Lawrence,JAC,7,532.13,330.85,3843.74,26.6,12.39,69.87,316.66,5.08,2.41,292.7,3.74,1.78,8.33,0.25,0.03,0.39,0.0
Caleb Williams,CHI,10,551.06,335.67,3815.47,27.55,9.19,74.9,388.88,2.25,2.33,292.17,3.68,1.75,7.52,0.41,0.06,0.63,0.0
Justin Herbert,LAC,7,520.17,345.39,3902.53,26.54,10.65,74.84,410.81,2.33,2.34,291.34,3.87,1.86,9.11,0.46,0.08,0.73,0.0
Patrick Mahomes,KC,5,553.49,356.36,3899.48,27.39,11.38,57.37,323.72,2.72,1.78,287.91,3.86,1.86,8.0,0.26,0.04,0.59,0.0
Brock Purdy,SF,8,516.96,348.03,4007.81,27.8,14.18,62.01,273.06,3.44,2.77,285.56,4.1,2.01,9.92,0.17,0.02,0.31,0.0
Bo Nix,DEN,10,555.17,358.49,3730.02,26.66,11.17,75.63,335.57,3.48,1.82,284.3,3.49,1.63,6.81,0.28,0.04,0.39,0.0
Matthew Stafford,LAR,11,542.3,351.03,4141.39,32.6,9.72,24.29,50.75,0.29,1.96,279.51,4.4,2.2,9.99,0.0,0.0,0.0,0.0
Jared Goff,DET,6,545.31,371.99,4288.48,30.92,10.29,25.07,65.08,0.39,2.49,278.51,4.73,2.42,10.88,0.0,0.0,0.0,0.0
Kyler Murray,MIN,6,498.81,331.39,3484.73,22.72,11.74,75.79,448.71,3.62,2.63,268.12,2.97,1.33,7.01,0.57,0.1,0.88,0.0
Baker Mayfield,TB,10,524.6,341.93,3799.68,25.77,12.27,56.21,329.39,1.65,2.64,268.09,3.64,1.72,8.28,0.27,0.04,0.64,0.0
Tyler Shough,NO,8,524.48,346.14,3773.9,22.22,10.9,72.25,302.86,3.79,2.65,265.76,3.59,1.69,8.11,0.22,0.03,0.3,0.0
Jordan Love,GB,11,501.06,327.25,3828.96,26.71,9.98,48.2,206.39,1.18,2.02,263.72,3.71,1.76,9.25,0.08,0.01,0.22,0.0
C.J. Stroud,HOU,8,539.63,341.98,3827.96,24.64,11.29,52.83,230.68,1.2,2.56,254.25,3.71,1.76,7.98,0.1,0.01,0.26,0.0
Sam Darnold,SEA,11,491.2,315.77,3875.57,26.26,12.22,41.75,144.32,1.05,3.11,250.13,3.81,1.83,9.88,0.03,0.0,0.04,0.0
Malik Willis,MIA,6,453.17,294.34,3167.34,17.61,10.33,99.84,546.35,4.06,3.17,249.13,2.32,0.97,6.38,0.86,0.17,0.96,0.0
Daniel Jones,IND,13,477.29,315.21,3549.89,21.91,10.71,50.21,202.66,3.49,2.81,243.8,3.1,1.41,8.16,0.07,0.01,0.17,0.0
Bryce Young,CAR,5,506.75,318.52,3292.78,22.79,11.96,56.09,259.25,2.79,2.44,236.74,2.57,1.11,5.47,0.15,0.02,0.33,0.0
Cam Ward,TEN,9,545.99,335.57,3485.71,21.57,10.43,45.32,192.03,2.11,3.71,229.29,2.97,1.33,5.48,0.06,0.01,0.2,0.0
Aaron Rodgers,PIT,9,530.43,342.36,3562.24,23.82,9.53,27.97,94.16,0.9,2.21,229.11,3.13,1.42,6.5,0.01,0.0,0.02,0.0
