RB,Team,Bye,Rush Att,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD,Fum,Fantasy Points (Half-PPR),Fantasy Points (PPR),Fantasy Points (STD),Exp 100+ Scrim Yd Games,Exp 200+ Scrim Yd Games,Exp 40+ Rush Plays,Exp 20+ Yd Rec Plays
Jahmyr Gibbs,DET,6.0,254.05,1279.31,13.27,83.7,68.27,558.0,3.82,1.04,318.33,352.46,284.19,6.23,2.15,1.97,6.61
Bijan Robinson,ATL,11.0,273.18,1360.57,9.12,93.6,73.45,676.46,3.46,1.56,312.79,349.51,276.06,7.0,2.6,2.05,8.75
Christian McCaffrey,SF,8.0,258.18,1052.06,8.54,93.17,74.81,662.6,4.74,1.07,286.41,323.82,249.01,5.72,1.88,0.93,8.43
Jonathan Taylor,IND,13.0,306.88,1450.47,12.93,54.76,42.17,319.44,1.53,1.5,281.84,302.92,260.75,5.95,2.0,1.97,3.14
De'Von Achane,MIA,6.0,234.18,1187.85,6.53,79.01,64.17,471.19,3.45,1.11,255.65,287.73,223.56,5.49,1.76,1.85,4.8
Ashton Jeanty,LV,13.0,279.64,1099.18,7.79,77.76,57.53,403.18,2.94,1.1,241.18,269.95,212.42,4.81,1.43,0.84,3.15
James Cook III,BUF,7.0,274.52,1363.52,10.38,41.12,32.6,270.25,1.83,1.93,249.08,265.38,232.78,5.38,1.7,2.05,3.15
Chase Brown,CIN,6.0,223.05,978.01,6.69,79.42,62.44,424.26,3.7,0.98,231.83,263.05,200.61,4.36,1.23,1.1,3.54
Saquon Barkley,PHI,10.0,286.56,1278.6,8.33,51.15,38.43,297.77,1.95,1.12,236.29,255.51,217.08,5.13,1.58,1.51,2.92
Derrick Henry,BAL,13.0,286.2,1456.59,12.4,22.2,16.86,160.67,0.8,1.55,246.26,254.69,237.83,5.31,1.67,2.28,2.08
Omarion Hampton,LAC,7.0,237.6,1039.9,9.2,59.47,49.58,332.72,1.94,0.91,227.07,251.86,202.28,4.22,1.18,1.17,3.04
Jeremiyah Love,ARI,14.0,223.83,1019.79,6.48,72.31,55.29,413.36,2.03,1.57,218.88,246.53,191.24,4.5,1.29,1.27,3.93
Kenneth Walker III,KC,5.0,248.28,1099.18,8.35,57.75,44.09,344.88,1.52,0.87,223.93,245.98,201.89,4.55,1.31,1.27,3.52
Josh Jacobs,GB,11.0,256.58,1050.33,11.56,43.25,34.54,271.82,1.14,1.28,223.12,240.4,205.86,3.99,1.08,0.95,2.99
Breece Hall,NYJ,13.0,237.94,1058.93,5.83,57.0,46.18,399.21,2.03,1.43,213.2,236.29,190.11,4.61,1.34,1.24,5.0
Kyren Williams,LAR,11.0,241.23,1111.94,10.02,41.86,31.58,225.1,2.1,1.41,219.39,235.18,203.6,4.06,1.11,1.43,1.91
Cam Skattebo,NYG,8.0,223.95,932.6,7.6,56.04,44.21,348.01,2.33,1.42,206.91,229.01,184.8,3.8,1.0,0.89,3.76
Travis Etienne Jr.,NO,8.0,244.89,1020.72,6.31,54.39,40.9,317.27,2.25,0.91,203.79,224.24,183.34,4.07,1.11,0.98,3.12
Javonte Williams,DAL,14.0,240.26,1110.11,9.51,46.62,32.0,173.62,1.38,1.33,207.05,223.05,191.05,3.82,1.01,1.43,0.13
Bucky Irving,TB,10.0,239.04,963.71,5.29,48.15,40.1,333.98,2.26,1.06,193.0,213.05,172.95,3.88,1.04,0.82,4.14
D'Andre Swift,CHI,10.0,220.02,997.48,7.75,43.54,33.01,276.89,0.91,0.88,194.14,210.65,177.64,3.77,0.99,1.23,3.09
Quinshon Judkins,CLE,11.0,275.83,1051.52,7.71,43.63,30.21,208.49,0.69,0.95,189.61,204.71,174.5,3.71,0.97,0.68,1.31
