TE,Team,Bye,Targets,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD,Fantasy Points (Half-PPR),Fantasy Points (PPR),TE Premium,Exp 100+ Scrim Yd Games,Exp 200+ Scrim Yd Games,Exp 40+ Rush Plays,Exp 20+ Yd Rec Plays
Trey McBride,ARI,14.0,149.13,107.45,1057.79,6.93,0.0,0.14,0.07,201.52,255.24,308.97,2.8,0.86,0.0,13.42
Brock Bowers,LV,13.0,126.47,91.21,983.78,6.96,2.72,8.9,0.08,187.11,232.72,278.32,2.55,0.75,0.0,13.63
Colston Loveland,CHI,10.0,114.75,76.33,907.77,6.76,0.42,0.64,0.01,169.63,207.79,245.96,2.22,0.63,0.0,12.76
Tyler Warren,IND,13.0,113.1,80.78,853.91,4.94,6.05,14.26,0.59,160.39,200.78,241.17,2.07,0.57,0.0,11.52
Harold Fannin Jr.,CLE,11.0,108.36,72.62,761.09,5.15,7.46,16.65,0.65,148.88,185.19,221.5,1.73,0.45,0.0,9.56
Kyle Pitts Sr.,ATL,11.0,106.39,73.62,811.77,4.3,0.0,0.0,0.0,143.79,180.6,217.41,1.86,0.49,0.0,11.06
Sam LaPorta,DET,6.0,91.35,68.27,780.67,5.45,0.02,0.07,0.0,144.91,179.04,213.18,1.74,0.45,0.0,11.66
Tucker Kraft,GB,11.0,84.38,61.27,779.64,6.21,0.71,3.69,0.02,146.35,176.98,207.62,1.75,0.46,0.01,12.29
Travis Kelce,KC,5.0,102.15,72.95,746.99,4.68,0.1,0.29,0.0,139.28,175.76,212.23,1.62,0.41,0.0,9.77
Dallas Goedert,PHI,10.0,83.45,61.96,635.16,6.37,0.0,1.0,0.13,133.6,164.58,195.56,1.22,0.28,0.0,8.63
George Kittle,SF,8.0,78.72,60.17,713.47,5.49,0.2,0.53,0.0,134.43,164.51,194.59,1.49,0.37,0.0,11.1
Jake Ferguson,DAL,14.0,94.23,70.74,581.12,5.56,0.0,0.14,0.0,126.86,162.23,197.6,1.03,0.23,0.0,6.22
Mark Andrews,BAL,13.0,79.83,55.14,580.48,6.94,7.95,28.96,0.68,134.23,161.8,189.37,1.12,0.25,0.01,7.55
Dalton Kincaid,BUF,7.0,79.41,55.34,673.49,5.05,0.0,0.0,0.0,125.32,152.99,180.66,1.35,0.32,0.0,10.0
Juwan Johnson,NO,8.0,87.22,61.63,690.35,3.17,0.0,0.0,0.0,118.87,149.69,180.5,1.41,0.34,0.0,9.71
Isaiah Likely,NYG,8.0,82.59,57.47,647.4,4.53,0.0,0.0,0.0,120.65,149.39,178.12,1.26,0.29,0.0,9.03
