type,id,note
draft,1367011755133255680,#SFB16 Cincinnati - Civilization
draft,1365800099510259712,#SFB16 Cincinnati - Fallout
draft,1365800486493495296,#SFB16 Cincinnati - Fortnite
draft,1365800793059373056,#SFB16 Cincinnati - Mario Kart 64
draft,1365801492799299584,#SFB16 Cincinnati - NBA Jam
draft,1365802307031171072,#SFB16 Cincinnati - Roller Coaster Tycoon
draft,1365803151923359744,#SFB16 Cincinnati - Tecmo Super Bowl
draft,1365572725451526144,#SFB16 Minnesota - Halo: Combat Evolved
draft,1365573664073867264,#SFB16 Minnesota - Mega Man II
draft,1365574137656905728,#SFB16 Minnesota - NHL94
draft,1365801788539674624,#SFB16 Minnesota - Oregon Trail
draft,1365802084590428160,#SFB16 Minnesota - Rayman
draft,1365802627035586560,#SFB16 Minnesota - Soda Popinski (Punchout)
draft,1365803883137372160,#SFB16 Minnesota - Tony Hawk Pro Skater 2
draft,1365799254089539584,#SFB16 Cincinnati - Contra (drafting)
draft,1365801227471839232,#SFB16 Cincinnati - Miss Pac-Man (drafting)
draft,1365803451975487488,#SFB16 Cincinnati - Tetris (drafting)
draft,1365803682410541056,#SFB16 Cincinnati - The Legend of Zelda (drafting)
draft,1366432255588720640,#SFB16 Denver - Captain Falcon (Super Smash Bros) (drafting)
draft,1366432042362900480,#SFB16 Denver - Donkey Kong (Super Smash Bros) (drafting)
draft,1366431797717536768,#SFB16 Denver - Link (Super Smash Bros) (drafting)
draft,1366430992927064064,#SFB16 Denver - Mario (Super Smash Bros) (drafting)
draft,1366430111057838080,#SFB16 Denver - Pikachu (Super Smash Bros) (drafting)
draft,1366427712029233152,#SFB16 Dublin - Halo (drafting)
draft,1374130278749962240,#SFB16 Dublin - Sensible Soccer (drafting)
draft,1366420957819842560,#SFB16 Las Vegas - Caesars Palace (drafting)
draft,1366420774352601088,#SFB16 Las Vegas - Fallout: New Vegas (drafting)
draft,1366420598359613440,#SFB16 Las Vegas - Mike Tyson's Punch Out (drafting)
draft,1366413411256131584,#SFB16 Miami - Grand Theft Auto Vice City (drafting)
draft,1366413122935476224,#SFB16 Miami - Mortal Kombat (drafting)
draft,1366446667649286144,#SFB16 Albuquerque - Duke Nuke Em: Zero Hour (drafting)
draft,1366446445070155776,#SFB16 Albuquerque - Half Life (drafting)
draft,1366440842071375872,#SFB16 Charlotte - Oregon Trail (drafting)
draft,1366440656184033280,#SFB16 Charlotte - Resident Evil (drafting)
draft,1366440476797841408,#SFB16 Charlotte - Spider-Man (drafting)
draft,1366440267518861312,#SFB16 Charlotte - Super Mario Bros. (drafting)
draft,1366440064086736896,#SFB16 Charlotte - The Last of Us (drafting)
draft,1366425349772050432,#SFB16 Houston - Asteroids (drafting)
draft,1366425169563750400,#SFB16 Houston - Galaga (drafting)
draft,1366425004538884096,#SFB16 Houston - Halo (drafting)
draft,1366424838079537152,#SFB16 Houston - Space Invaders (drafting)
draft,1366424680004603904,#SFB16 Houston - Super Mario Galaxy (drafting)
draft,1366407234539524096,#SFB16 New Orleans - Mario (drafting)
draft,1366407072039604224,#SFB16 New Orleans - Wario (drafting)
draft,1366395406417686528,#SFB16 Salt Lake City - Goldeneye 007 (drafting)
draft,1366394922692808704,#SFB16 Salt Lake City - Zelda (The Legend of Zelda (drafting)
draft,1374906508592033792,#SFB16 Buffalo - Donkey Kong (drafting)
draft,1370183607930331136,#SFB16 Buffalo - Guitar Hero (drafting)
draft,1366441777011130368,#SFB16 Buffalo - Crash Bandicoot (drafting)
draft,1366441323401342976,#SFB16 Buffalo - Minecraft (drafting)
draft,1366441095218610176,#SFB16 Buffalo - RBI Baseball (drafting)
draft,1366427106707243008,#SFB16 Fayetteville - Mortal Kombat (complete)
draft,1366426857787887616,#SFB16 Fayetteville - Pac-Man (drafting)
draft,1366397518098747392,#SFB16 Pittsburgh - Bowser (Super Mario) (complete)
draft,1366397359293997056,#SFB16 Pittsburgh - Dr. Eggman (Sonic) (drafting)
draft,1366397207569248256,#SFB16 Pittsburgh - Dracula (Castlevania) (complete)
draft,1366397063364907008,#SFB16 Pittsburgh - Ganondorf (Legend of Zelda) (drafting)
draft,1366396901355720704,#SFB16 Pittsburgh - King K Rool (Donkey Kong) (drafting)
draft,1366396694702342144,#SFB16 Pittsburgh - Sephiroth (Final Fantasy VII) (complete)
draft,1366394726365802496,#SFB16 San Diego - GTA San Andreas (complete)
draft,1377037472734658560,#SFB16 San Diego - The Show - Stadium (complete)
draft,1366394386572644352,#SFB16 San Diego - Tony Hawks Underground (drafting)
draft,1366421145259098112,#SFB16 Köln - Claptrap (Borderlands) (drafting)
draft,1366407902788612096,#SFB16 Monterrey - 10 Yard Fight (drafting)
draft,1366407732478906368,#SFB16 Monterrey - Baseball Stars (drafting)
draft,1366392790191202304,#SFB16 Sydney - Scorpion (Mortal Kombat) (drafting)
draft,1366392298572623872,#SFB16 Sydney - The Legend of Zelda: OcarinaofTime (drafting)
draft,1375636658879229952,#SFB16 - Mario Party-e (drafting)
draft,1375511971645906944,#SFB16 - Hogwarts Legacy (drafting)
draft,1372314369513250816,#SFB16 - Tony Hawk (drafting)
draft,1367874283375702016,#SFB16 - 10 Yard Fight (drafting)
draft,1367874246767828992,#SFB16 - Abby (The Last of Us) (drafting)
draft,1367874216497541120,#SFB16 - Ace Attorney (Phoenix Right) (drafting)
draft,1367874177956073472,#SFB16 - Agent 47 (Hitman) (drafting)
draft,1367874134414999552,#SFB16 - Aiai (Super Monkey Ball) (drafting)
draft,1367874104899690496,#SFB16 - Aloy (Horizon Zero Dawn) (drafting)
draft,1367874067700408320,#SFB16 - Altair (Assassins Creed) (drafting)
draft,1367874027799977984,#SFB16 - Among Us (drafting)
draft,1367873998444060672,#SFB16 - Angry Birds (drafting)
draft,1367873970426122240,#SFB16 - Angry Birds Space (drafting)
draft,1367873937685381120,#SFB16 - Animal Crossing (drafting)
draft,1367873899030642688,#SFB16 - Animal Crossing: New Horizons (drafting)
draft,1367873854722031616,#SFB16 - Apex Legends (drafting)
draft,1367873821641555968,#SFB16 - Arthur Morgan (Red Dead) (drafting)
draft,1367873787885793280,#SFB16 - Assassin's Creed (drafting)
draft,1367873757137358848,#SFB16 - Asteroids (drafting)
draft,1367873664216743936,#SFB16 - Astro Bot (drafting)
draft,1367873602057146368,#SFB16 - Bad Dudes (drafting)
draft,1367873510780710912,#SFB16 - Baldurs Gate 3 (drafting)
draft,1367873472054689792,#SFB16 - Baron Samedi (GoldenEye 007) (drafting)
draft,1367870719207170048,#SFB16 - Battletoads (drafting)
draft,1367870663099961344,#SFB16 - BioShock (drafting)
draft,1367870602479669248,#SFB16 - Birdo (drafting)
draft,1367870541083471872,#SFB16 - Blades of Steel (drafting)
draft,1367870484099657728,#SFB16 - Bond (GoldenEye 007) (drafting)
draft,1367870434288078848,#SFB16 - Boris (GoldenEye 007) (drafting)
draft,1367870372799602688,#SFB16 - Bowser (drafting)
draft,1367870321406779392,#SFB16 - Brawl Stars (drafting)
draft,1367870209171402752,#SFB16 - Bulbasaur (Pokemon) (drafting)
draft,1367870156251893760,#SFB16 - Burger Time (drafting)
draft,1367870103340732416,#SFB16 - Call of Duty: Modern Warfare 2 (drafting)
draft,1367870054128967680,#SFB16 - Candy Crush (drafting)
draft,1367869991453491200,#SFB16 - Captain Price (Call of Duty) (drafting)
draft,1367869930921271296,#SFB16 - Castle Wolfenstein (drafting)
draft,1367869879327145984,#SFB16 - Charizard (Pokemon) (drafting)
draft,1367869820342665216,#SFB16 - Chrono Trigger (drafting)
draft,1367869769658679296,#SFB16 - Civilization (drafting)
draft,1367869719377354752,#SFB16 - Claptrap (Borderlands) (drafting)
draft,1367869633998102528,#SFB16 - Clash of Clans (drafting)
draft,1367867651778420736,#SFB16 - Clash Royale (drafting)
draft,1367867593699921920,#SFB16 - Cloud Strife (Final Fantasy VII) (drafting)
draft,1367867544832081920,#SFB16 - Cloud Strife (Final Fantasy) (drafting)
draft,1367867471385604096,#SFB16 - Combat (drafting)
draft,1367867415672684544,#SFB16 - Contra (drafting)
draft,1367867354154819584,#SFB16 - Crash Bandicoot (drafting)
draft,1367867259661344768,#SFB16 - Cyberpunk 2077 (drafting)
draft,1367867195484295168,#SFB16 - Dark Souls (drafting)
draft,1367867139347726336,#SFB16 - Diablo II (drafting)
draft,1367867082884018176,#SFB16 - Diddy Kong (drafting)
draft,1367867026038603776,#SFB16 - Dig Dug (drafting)
draft,1367866971994980352,#SFB16 - Disco Elysium (drafting)
draft,1367866911156617216,#SFB16 - Donkey Kong (drafting)
draft,1367866853958881280,#SFB16 - Donkey Kong 64 (drafting)
draft,1367866796983459840,#SFB16 - Donkey Kong Country (drafting)
draft,1367864881004441600,#SFB16 - Doom Guy (Doom) (drafting)
draft,1367864824767188992,#SFB16 - Dr. Mario (drafting)
draft,1367864765690437632,#SFB16 - Dragon Age: Origins (drafting)
draft,1367864717707587584,#SFB16 - Elden Ring (drafting)
draft,1367864598178328576,#SFB16 - Elder Scrolls (drafting)
draft,1367864452510121984,#SFB16 - Ellie (The Last of Us) (drafting)
draft,1367864361464381440,#SFB16 - Ezio Audatore (Assassins Creed) (drafting)
draft,1367864300768620544,#SFB16 - Fallout (drafting)
draft,1367864244166463488,#SFB16 - Fallout 3 (drafting)
draft,1367864180220116992,#SFB16 - Fallout 4 (drafting)
draft,1367864118349942784,#SFB16 - Fallout: New Vegas (drafting)
draft,1367863994131439616,#SFB16 - FIFA Series (drafting)
draft,1367863939378999296,#SFB16 - Final Fantasy VII (drafting)
draft,1367863862346403840,#SFB16 - Fortnite (drafting)
draft,1367859175333298176,#SFB16 - Galaga (drafting)
draft,1367859097302503424,#SFB16 - Garrus Vakarian (Mass Effect) (drafting)
draft,1367859021914062848,#SFB16 - Gauntlet (drafting)
draft,1367858951126790144,#SFB16 - Gears of War (drafting)
draft,1367858888308690944,#SFB16 - Geralt of Rivia (The Witcher) (drafting)
draft,1367858805144027136,#SFB16 - Ghost of Tsushima (drafting)
draft,1367858743265484800,#SFB16 - Ghostbusters (drafting)
draft,1367858683794436096,#SFB16 - God of War (2018) (drafting)
draft,1367858603716784128,#SFB16 - Goldeneye 007 (drafting)
draft,1367858546934296576,#SFB16 - Gotham (drafting)
draft,1367858488079835136,#SFB16 - Grand Theft Auto Vice City (drafting)
draft,1367858425257545728,#SFB16 - Guitar Hero (drafting)
draft,1367858341543411712,#SFB16 - Half-Life 2 (drafting)
draft,1367858246441783296,#SFB16 - Halo (drafting)
draft,1367858166477373440,#SFB16 - Halo 3 (drafting)
draft,1367858092053647360,#SFB16 - Hollow Knight (drafting)
draft,1367858022541430784,#SFB16 - Inside (drafting)
draft,1367857876780990464,#SFB16 - Jak & Daxter (drafting)
draft,1367857779649298432,#SFB16 - John Madden Football (drafting)
draft,1367857702654480384,#SFB16 - Journey (drafting)
draft,1367760243156615168,#SFB16 - Kaboom (drafting)
draft,1367760105310818304,#SFB16 - Ken (Street Fighter II) (drafting)
draft,1367759986188361728,#SFB16 - King Boo (drafting)
draft,1367759848812326912,#SFB16 - King K Rool (Donkey Kong) (drafting)
draft,1367759739471003648,#SFB16 - Kingdom Hearts (drafting)
draft,1367759626359029760,#SFB16 - Kirby (drafting)
draft,1367759364739305472,#SFB16 - Kratos (God of War) (drafting)
draft,1367758428235141120,#SFB16 - Lara Croft (Tomb Raider) (drafting)
draft,1367758263952621568,#SFB16 - Lego Star Wars: The Skywalker Saga (drafting)
draft,1367758151725637632,#SFB16 - Link (drafting)
draft,1367758030816432128,#SFB16 - Link (The Legend of Zelda) (drafting)
draft,1367757925249978368,#SFB16 - Luigi (drafting)
draft,1367757808660930560,#SFB16 - Luigi (Super Mario) (drafting)
draft,1367757447376162816,#SFB16 - Madden NFL (drafting)
draft,1367757327289028608,#SFB16 - Maniac Mansion (drafting)
draft,1367757226801897472,#SFB16 - Mario (drafting)
draft,1367757072971620352,#SFB16 - Mario (Super Mario) (drafting)
draft,1367756824274538496,#SFB16 - Mario Kart 8 Deluxe (drafting)
draft,1367747729148612608,#SFB16 - Mario Kart World (drafting)
draft,1367747553226915840,#SFB16 - Marvel Rivals (drafting)
draft,1367747405650366464,#SFB16 - Mass Effect Legendary Edition (drafting)
draft,1367747246392619008,#SFB16 - Master Chief (drafting)
draft,1367747045695180800,#SFB16 - Master Chief (Halo) (drafting)
draft,1367746886408081408,#SFB16 - Mega Man (drafting)
draft,1367746730308702208,#SFB16 - Mega Man II (drafting)
draft,1367746566554656768,#SFB16 - Metal Gear Solid (drafting)
draft,1367746436057296896,#SFB16 - Metroid Prime (drafting)
draft,1367746234256752640,#SFB16 - Mewtwo (Pokemon) (drafting)
draft,1367746040278573056,#SFB16 - Mike Tyson's Punch Out (drafting)
draft,1367739515736707072,#SFB16 - Minecraft (drafting)
draft,1367738822376300544,#SFB16 - Miss Pac-Man (drafting)
draft,1367738412706074624,#SFB16 - Missile Command (drafting)
draft,1367737893744828416,#SFB16 - Mortal Kombat (drafting)
