player_id,player,team,pos,season,week,snaps,snaps_pct,rush_att,rush_att_pct,targets,targets_pct,ez_tgts,ez_tgts_pct,inside5_rush,inside5_rush_pct,adot,team_targets,team_rush_att,team_ez_tgts,team_inside5_rush
00-0039901,Keon Coleman,BUF,WR,2025,1,75,88.0,0,0.0,13,27.1,2,50.0,0,0.0,10.2,48,31,4,7
00-0036040,Juwan Johnson,NO,TE,2025,1,74,99.0,0,0.0,11,26.8,1,25.0,0,0.0,8.1,41,22,4,1
00-0034348,Courtland Sutton,DEN,WR,2025,1,72,95.0,0,0.0,9,24.3,1,50.0,0,0.0,11.9,37,30,2,0
00-0039394,Casey Washington,ATL,WR,2025,1,72,95.0,0,0.0,6,14.3,0,0.0,0,0.0,16.5,42,28,3,5
00-0037238,Drake London,ATL,WR,2025,1,67,88.0,0,0.0,15,35.7,2,66.7,0,0.0,6.6,42,28,3,5
00-0038979,Cedric Tillman,CLE,WR,2025,1,67,88.0,0,0.0,8,19.0,1,100.0,0,0.0,8.4,42,24,1,4
00-0036407,Jerry Jeudy,CLE,WR,2025,1,67,88.0,0,0.0,8,19.0,0,0.0,0,0.0,12.1,42,24,1,4
00-0035535,Darius Slayton,NYG,WR,2025,1,66,97.0,0,0.0,1,3.1,0,0.0,0,0.0,16.0,32,23,2,1
00-0033090,Hunter Henry,NE,TE,2025,1,66,93.0,0,0.0,8,17.8,0,0.0,0,0.0,14.6,45,18,3,1
00-0037240,Jameson Williams,DET,WR,2025,1,65,97.0,1,4.5,5,13.2,0,0.0,0,0.0,5.2,38,22,2,0
00-0037239,Chris Olave,NO,WR,2025,1,64,85.0,0,0.0,13,31.7,1,25.0,0,0.0,7.5,41,22,4,1
00-0037545,Rashid Shaheed,NO,WR,2025,1,64,85.0,0,0.0,9,22.0,1,25.0,0,0.0,8.8,41,22,4,1
00-0039916,Ricky Pearsall,SF,WR,2025,1,64,84.0,0,0.0,7,20.6,2,50.0,0,0.0,19.4,34,36,4,0
00-0037744,Trey McBride,ARI,TE,2025,1,64,97.0,0,0.0,9,31.0,0,0.0,0,0.0,3.9,29,27,1,1
00-0039337,Malik Nabers,NYG,WR,2025,1,64,94.0,0,0.0,12,37.5,1,50.0,0,0.0,10.2,32,23,2,1
00-0033885,David Njoku,CLE,TE,2025,1,64,84.0,0,0.0,6,14.3,0,0.0,0,0.0,6.8,42,24,1,4
00-0037740,Garrett Wilson,NYJ,WR,2025,1,64,100.0,0,0.0,10,45.5,0,0.0,0,0.0,8.6,22,40,0,4
00-0038542,Bijan Robinson,ATL,RB,2025,1,63,83.0,12,42.9,7,16.7,0,0.0,2,40.0,-1.3,42,28,3,5
00-0036963,Amon-Ra St. Brown,DET,WR,2025,1,63,94.0,0,0.0,6,15.8,1,50.0,0,0.0,8.8,38,22,2,0
00-0039919,Rome Odunze,CHI,WR,2025,1,63,94.0,0,0.0,9,26.5,1,50.0,0,0.0,6.1,34,26,2,0
00-0033943,Josh Reynolds,NYJ,WR,2025,1,62,97.0,0,0.0,3,13.6,0,0.0,0,0.0,10.0,22,40,0,4
00-0039065,Sam LaPorta,DET,TE,2025,1,61,91.0,0,0.0,9,23.7,0,0.0,0,0.0,5.0,38,22,2,0
00-0036290,Cole Kmet,CHI,TE,2025,1,60,90.0,0,0.0,4,11.8,0,0.0,0,0.0,14.2,34,26,2,0
00-0036252,Michael Pittman,IND,WR,2025,1,60,82.0,0,0.0,8,27.6,0,0.0,0,0.0,6.8,29,40,2,5
00-0037261,Khalil Shakir,BUF,WR,2025,1,60,71.0,0,0.0,9,18.8,0,0.0,0,0.0,9.4,48,31,4,7
00-0033906,Alvin Kamara,NO,RB,2025,1,59,79.0,11,50.0,2,4.9,0,0.0,1,100.0,-1.5,41,22,4,1
00-0034960,Jakobi Meyers,LV,WR,2025,1,59,94.0,0,0.0,10,30.3,0,0.0,0,0.0,8.1,33,24,1,1
00-0036970,Kyle Pitts,ATL,TE,2025,1,59,78.0,0,0.0,8,19.0,0,0.0,0,0.0,4.6,42,28,3,5
00-0039849,Marvin Harrison Jr.,ARI,WR,2025,1,59,89.0,0,0.0,6,20.7,1,100.0,0,0.0,12.7,29,27,1,1
00-0037664,Alec Pierce,IND,WR,2025,1,58,79.0,0,0.0,3,10.3,1,50.0,0,0.0,20.3,29,40,2,5
00-0038608,Kayshon Boutte,NE,WR,2025,1,58,82.0,0,0.0,8,17.8,1,33.3,0,0.0,17.1,45,18,3,1
00-0033280,Christian McCaffrey,SF,RB,2025,1,58,76.0,22,61.1,10,29.4,0,0.0,0,0.0,2.0,34,36,4,0
00-0035662,Marquise Brown,KC,WR,2025,1,57,93.0,0,0.0,16,41.0,0,0.0,0,0.0,6.3,39,17,2,0
00-0039893,Brian Thomas Jr.,JAC,WR,2025,1,57,86.0,1,3.1,7,24.1,0,0.0,0,0.0,13.1,29,32,1,0
00-0031236,Brandin Cooks,NO,WR,2025,1,57,76.0,0,0.0,4,9.8,0,0.0,0,0.0,4.5,41,22,4,1
00-0038563,Tre Tucker,LV,WR,2025,1,57,90.0,0,0.0,3,9.1,1,100.0,0,0.0,21.0,33,24,1,1
00-0034827,DJ Moore,CHI,WR,2025,1,56,84.0,3,11.5,5,14.7,1,50.0,0,0.0,18.8,34,26,2,0
00-0036358,CeeDee Lamb,DAL,WR,2025,1,56,92.0,0,0.0,13,39.4,0,0.0,0,0.0,14.0,33,22,2,2
00-0037247,George Pickens,DAL,WR,2025,1,56,92.0,0,0.0,4,12.1,1,50.0,0,0.0,13.0,33,22,2,2
00-0040736,Mason Taylor,NYJ,TE,2025,1,56,88.0,0,0.0,1,4.5,0,0.0,0,0.0,18.0,22,40,0,4
