player_id,player,team,pos,season,week,snaps,snaps_pct,rush_att,rush_att_pct,targets,targets_pct,rec,ez_tgts,ez_tgts_pct,inside5_rush,inside5_rush_pct,adot,air_yards_total,team_targets,team_rush_att,team_ez_tgts,team_inside5_rush
00-0039424,Devaughn Vele,NO,WR,2026,1,82,91.0,0,0.0,9,17.0,7,1,25.0,0,0.0,7.0,63.0,53,25,4,0
00-0037239,Chris Olave,NO,WR,2026,1,77,86.0,0,0.0,13,24.5,10,0,0.0,0,0.0,18.0,234.0,53,25,4,0
00-0036040,Juwan Johnson,NO,TE,2026,1,76,84.0,0,0.0,7,13.2,3,2,50.0,0,0.0,11.0,77.0,53,25,4,0
00-0036963,Amon-Ra St. Brown,DET,WR,2026,1,69,90.0,0,0.0,14,35.9,10,0,0.0,0,0.0,5.0,70.0,39,33,1,5
00-0037240,Jameson Williams,DET,WR,2026,1,65,84.0,0,0.0,9,23.1,4,0,0.0,0,0.0,14.1,127.0,39,33,1,5
00-0040126,Colston Loveland,CHI,TE,2026,1,65,87.0,0,0.0,2,7.7,0,1,33.3,0,0.0,15.0,30.0,26,39,3,4
00-0038559,Michael Wilson,ARI,WR,2026,1,64,85.0,0,0.0,7,18.9,5,0,0.0,0,0.0,11.9,83.0,37,34,1,2
00-0035640,DK Metcalf,PIT,WR,2026,1,64,96.0,0,0.0,10,27.0,4,1,33.3,0,0.0,20.4,204.0,37,21,3,0
00-0039065,Sam LaPorta,DET,TE,2026,1,62,81.0,0,0.0,8,20.5,5,1,100.0,0,0.0,0.9,7.0,39,33,1,5
00-0041067,Bryce Lance,NO,WR,2026,1,62,69.0,0,0.0,5,9.4,3,0,0.0,0,0.0,8.0,40.0,53,25,4,0
00-0035659,Terry McLaurin,WAS,WR,2026,1,61,87.0,0,0.0,4,13.3,2,0,0.0,0,0.0,5.5,22.0,30,32,1,2
00-0037744,Trey McBride,ARI,TE,2026,1,60,80.0,0,0.0,13,35.1,9,1,100.0,0,0.0,6.8,89.0,37,34,1,2
00-0036322,Justin Jefferson,MIN,WR,2026,1,60,92.0,0,0.0,10,41.7,8,1,50.0,0,0.0,8.0,80.0,24,34,2,2
00-0036875,Rhamondre Stevenson,NE,RB,2026,1,60,85.0,18,58.1,6,19.4,5,0,0.0,0,0.0,-1.0,-6.0,31,31,2,0
00-0036900,Ja'Marr Chase,CIN,WR,2026,1,60,94.0,0,0.0,4,11.8,2,0,0.0,0,0.0,8.5,34.0,34,27,1,3
00-0037238,Drake London,ATL,WR,2026,1,59,98.0,1,3.2,4,21.1,2,0,0.0,0,0.0,5.5,22.0,19,31,0,0
00-0036252,Michael Pittman,PIT,WR,2026,1,59,88.0,0,0.0,3,8.1,3,0,0.0,0,0.0,11.0,33.0,37,21,3,0
00-0039849,Marvin Harrison Jr.,ARI,WR,2026,1,59,79.0,0,0.0,3,8.1,1,0,0.0,0,0.0,23.7,71.0,37,34,1,2
00-0039491,Jalen Coker,CAR,WR,2026,1,57,84.0,0,0.0,9,26.5,8,0,0.0,0,0.0,13.8,124.0,34,22,2,1
00-0039139,Jahmyr Gibbs,DET,RB,2026,1,57,74.0,29,87.9,5,12.8,5,0,0.0,5,100.0,-0.8,-4.0,39,33,1,5
00-0039067,Rashee Rice,KC,WR,2026,1,57,83.0,0,0.0,2,8.0,2,0,0.0,0,0.0,3.0,6.0,25,38,0,1
00-0036554,Nico Collins,HOU,WR,2026,1,57,72.0,1,3.1,10,27.0,7,1,100.0,0,0.0,12.0,120.0,37,32,1,3
00-0038129,Cade Otton,TB,TE,2026,1,56,98.0,0,0.0,5,18.5,3,0,0.0,0,0.0,6.4,32.0,27,20,1,0
00-0040124,Tetairoa McMillan,CAR,WR,2026,1,56,82.0,0,0.0,8,23.5,5,0,0.0,0,0.0,14.9,119.0,34,22,2,1
00-0040667,Matthew Golden,GB,WR,2026,1,56,82.0,0,0.0,12,30.0,6,2,50.0,0,0.0,11.4,137.0,40,21,4,0
00-0039880,Malik Washington,MIA,WR,2026,1,55,98.0,0,0.0,8,29.6,3,0,0.0,0,0.0,16.9,135.0,27,18,0,0
00-0040735,Luther Burden III,CHI,WR,2026,1,55,73.0,1,2.6,5,19.2,5,0,0.0,0,0.0,7.2,36.0,26,39,3,4
00-0039066,Michael Mayer,LV,TE,2026,1,55,81.0,0,0.0,7,24.1,6,1,100.0,0,0.0,4.0,28.0,29,37,1,0
00-0033090,Hunter Henry,NE,TE,2026,1,54,76.0,0,0.0,3,9.7,3,0,0.0,0,0.0,4.0,12.0,31,31,2,0
00-0038994,Jordan Addison,MIN,WR,2026,1,54,83.0,0,0.0,2,8.3,0,0,0.0,0,0.0,13.5,27.0,24,34,2,2
00-0039894,Xavier Worthy,KC,WR,2026,1,53,77.0,0,0.0,6,24.0,3,0,0.0,0,0.0,7.0,42.0,25,38,0,1
00-0036973,Travis Etienne,NO,RB,2026,1,53,59.0,9,36.0,9,17.0,7,0,0.0,0,0.0,-0.2,-2.0,53,25,4,0
00-0036550,Rashod Bateman,BAL,WR,2026,1,53,78.0,0,0.0,1,4.2,0,0,0.0,0,0.0,23.0,23.0,24,37,1,3
00-0036912,DeVonta Smith,PHI,WR,2026,1,52,95.0,0,0.0,6,27.3,3,0,0.0,0,0.0,13.2,79.0,22,25,2,0
00-0038124,Christian Watson,GB,WR,2026,1,52,76.0,0,0.0,8,20.0,6,1,25.0,0,0.0,15.9,127.0,40,21,4,0
00-0034383,Dalton Schultz,HOU,TE,2026,1,52,66.0,0,0.0,8,21.6,4,0,0.0,0,0.0,3.2,26.0,37,32,1,3
00-0040669,Isaac TeSlaa,DET,WR,2026,1,52,68.0,0,0.0,1,2.6,0,0,0.0,0,0.0,3.0,3.0,39,33,1,5
00-0034351,Dallas Goedert,PHI,TE,2026,1,52,95.0,0,0.0,5,22.7,4,1,50.0,0,0.0,10.4,52.0,22,25,2,0
00-0041523,Caleb Douglas,MIA,WR,2026,1,51,91.0,0,0.0,7,25.9,5,0,0.0,0,0.0,13.9,97.0,27,18,0,0
00-0033307,Kendrick Bourne,ARI,WR,2026,1,50,67.0,0,0.0,8,21.6,8,0,0.0,0,0.0,5.0,40.0,37,34,1,2
00-0040122,Ashton Jeanty,LV,RB,2026,1,50,74.0,23,62.2,6,20.7,6,0,0.0,0,0.0,3.0,18.0,29,37,1,0
00-0041042,Malachi Fields,NYG,WR,2026,1,50,72.0,0,0.0,4,13.8,2,0,0.0,0,0.0,17.8,71.0,29,37,1,2
00-0033555,Mack Hollins,NE,WR,2026,1,50,70.0,0,0.0,5,16.1,4,1,50.0,0,0.0,12.4,62.0,31,31,2,0
00-0037740,Garrett Wilson,NYJ,WR,2026,1,50,75.0,0,0.0,7,30.4,6,0,0.0,0,0.0,11.0,77.0,23,39,0,3
00-0040128,Tyler Warren,IND,TE,2026,1,50,93.0,0,0.0,5,17.2,3,0,0.0,0,0.0,4.6,23.0,29,20,0,3
00-0038393,Dontayvion Wicks,PHI,WR,2026,1,50,91.0,0,0.0,4,18.2,2,1,50.0,0,0.0,19.8,79.0,22,25,2,0
00-0040129,Emeka Egbuka,TB,WR,2026,1,49,86.0,0,0.0,6,22.2,5,0,0.0,0,0.0,14.0,84.0,27,20,1,0
00-0030506,Travis Kelce,KC,TE,2026,1,49,71.0,0,0.0,5,20.0,3,0,0.0,0,0.0,5.8,29.0,25,38,0,1
00-0036894,Pat Freiermuth,PIT,TE,2026,1,49,73.0,0,0.0,5,13.5,5,1,33.3,0,0.0,4.2,21.0,37,21,3,0
00-0033921,Chris Godwin Jr.,TB,WR,2026,1,49,86.0,1,5.0,4,14.8,4,0,0.0,0,0.0,0.8,3.0,27,20,1,0
00-0031408,Mike Evans,SF,WR,2026,1,49,75.0,0,0.0,7,20.6,6,1,25.0,0,0.0,7.9,55.0,34,30,4,0
