player_id,player,team,pos,season,week,snaps,snaps_pct,rush_att,rush_att_pct,inside5_rush,inside5_rush_pct,routes,routes_pct,targets,targets_pct,rec,ez_tgts,ez_tgts_pct,adot,air_yards_total,team_snaps,team_rush_att,team_inside5_rush,team_targets,team_ez_tgts,team_routes
00-0039901,Keon Coleman,BUF,WR,2025,1,75,88.0,0,0.0,0,0.0,50,94.3,13,27.1,0,2,50.0,10.2,0.0,85,31,7,48,4,53
00-0036040,Juwan Johnson,NO,TE,2025,1,74,99.0,0,0.0,0,0.0,47,95.9,11,26.8,0,1,25.0,8.1,0.0,75,22,1,41,4,49
00-0034348,Courtland Sutton,DEN,WR,2025,1,72,95.0,0,0.0,0,0.0,43,100.0,9,24.3,0,1,50.0,11.9,0.0,76,30,0,37,2,43
00-0039394,Casey Washington,ATL,WR,2025,1,72,95.0,0,0.0,0,0.0,46,97.9,6,14.3,0,0,0.0,16.5,0.0,76,28,5,42,3,47
00-0037238,Drake London,ATL,WR,2025,1,67,88.0,0,0.0,0,0.0,39,83.0,15,35.7,0,2,66.7,6.6,0.0,76,28,5,42,3,47
00-0038979,Cedric Tillman,CLE,WR,2025,1,67,88.0,0,0.0,0,0.0,46,95.8,8,19.0,0,1,100.0,8.4,0.0,76,24,4,42,1,48
00-0036407,Jerry Jeudy,CLE,WR,2025,1,67,88.0,0,0.0,0,0.0,46,95.8,8,19.0,0,0,0.0,12.1,0.0,76,24,4,42,1,48
00-0035535,Darius Slayton,NYG,WR,2025,1,66,97.0,0,0.0,0,0.0,44,97.8,1,3.1,0,0,0.0,16.0,0.0,68,23,1,32,2,45
00-0033090,Hunter Henry,NE,TE,2025,1,66,93.0,0,0.0,0,0.0,39,73.6,8,17.8,0,0,0.0,14.6,0.0,71,18,1,45,3,53
00-0037240,Jameson Williams,DET,WR,2025,1,65,97.0,1,4.5,0,0.0,43,100.0,5,13.2,0,0,0.0,5.2,0.0,67,22,0,38,2,43
00-0037239,Chris Olave,NO,WR,2025,1,64,85.0,0,0.0,0,0.0,43,87.8,13,31.7,0,1,25.0,7.5,0.0,75,22,1,41,4,49
00-0037545,Rashid Shaheed,NO,WR,2025,1,64,85.0,0,0.0,0,0.0,46,93.9,9,22.0,0,1,25.0,8.8,0.0,75,22,1,41,4,49
00-0039916,Ricky Pearsall,SF,WR,2025,1,64,84.0,0,0.0,0,0.0,35,89.7,7,20.6,0,2,50.0,19.4,0.0,76,36,0,34,4,39
00-0037744,Trey McBride,ARI,TE,2025,1,64,97.0,0,0.0,0,0.0,37,97.4,9,31.0,0,0,0.0,3.9,0.0,66,27,1,29,1,38
00-0039337,Malik Nabers,NYG,WR,2025,1,64,94.0,0,0.0,0,0.0,43,95.6,12,37.5,0,1,50.0,10.2,0.0,68,23,1,32,2,45
00-0033885,David Njoku,CLE,TE,2025,1,64,84.0,0,0.0,0,0.0,41,85.4,6,14.3,0,0,0.0,6.8,0.0,76,24,4,42,1,48
